ID,TITLE,ALT_TITLE,INFO,LANGUAGE,EPISODES,DISCS,GENRE,DETAILS
187,Dragon Ball GT,,Tercera Temporada,Español,64,3,,
188,Dragon Ball Movies,,,Español,3 Películas,1,,
189,Dragon Ball Z,,Segunda Temporada,Español,291,14,,
190,Dragon Ball Z Episodio Bardock,,,Japonés,Especial,1,,
191,Dragon Ball Z Movies,,,Español,13 Películas + 2 Especiales,2,,
192,Dragon Crisis,,,Japonés,,0,,
193,Dragon Quest,,,Español,46,2,,
194,Dramatical Murder,,,Japonés,12,1,,
195,Durarara!,,,Japonés,24,2,,
196,Durarara!! X2,,Segunda Temporada,Japonés,12,1,,
197,El Castillo de Cagliostro,,GHIBLI,Español,1,1,,
198,El Castillo en el Cielo,,GHIBLI,Español / Japonés,Película,1,,
199,El increible Castillo Vagabundo,Howl's Moving Castle,GHIBLI,Español / Japonés,Película,1,,
200,El Increible Mago de OZ,The Wonderful Wizard of OZ,,Español,52,2,,
201,El increible Mago de Oz - La Pelicula,,Película Resumen,Español,Película,1,,
202,El Regreso de los Gatos,Haru en el reino de los gatos,GHIBLI,Español / Japonés,Película,1,,
203,El Viaje de Chihiro,Spirt Away,GHIBLI,Español / Japonés,Película,1,,
204,Elfen Lied,,,Japonés,13 + OVA,1,,
205,ENZAI - False Acusation,,,Japonés,2,1,,
206,Erementar Gerad,,,Japonés,26,2,,
207,Ergo Proxy,,,Japonés,23,2,,
208,Escaflowne La Pelicula,,,Inglés / Japonés,Película,1,,
209,"Escaflowne, The Vision of",,,Español,26,2,,
210,Escha & Logy no Atelier - Tasogare no Sora no Rekinjutsushi,,,Japonés,13,1,,
211,Eureka Seven,,,Japonés,50 + especial,4,,
212,Eureka Seven  Astral Ocean,,,Japonés,24,2,,
213,"Eva, Pucci",Eva Petit,,Japonés,24,1,,
214,Evangelion Death and Rebirth,,,Inglés / Japonés,Película,1,,
215,"Evangelion, Neon Genesis",,,Español,26,2,,
216,"Evangelion, Rebuild of",,,Japonés,3 Películas,2,,
217,"Evangelion, The End of",,,Español / Japonés,Película,1,,
218,Eve no Jikan,Time of Eve,,Japonés,Película,1,,
219,Excel Saga,,,Español,26,2,,
220,Expelled from Paradise,Rakuen Tsuihou,,Japonés,Película,1,,
221,Eyeshield 21,,,Japonés,120,6,,
222,Fairy Tail,,,Japonés,175,9,,
223,Fairy Tail 2,,En emisión,Japonés,20/??,1,,
224,Fairy Tail Movie,,,Japonés,Película,1,,
225,Fairy Tail OVAS,,,Japonés,4,1,,
226,Fantasista Doll,,,Japonés,12,1,,
227,Fantastic Children,,,Japonés,26,2,,
228,Fate Kaleid Liner,,,Japonés,10,1,,
229,Fate Stay Night,,Primera Temporada,Japonés,26,2,,
230,Fate Stay Night Unlimited Blade Works,,Primera Temporada Película,Japonés,Película + 2 Especiales,1,,
231,Fate Zero,,Segunda Temporada,Japonés,25,2,,
232,Fate/Stay Night Unlimited Balde Works TV,,,Japonés,25,2,,
233,Final Fantasy Spirit Within,Final Fantasy: El espiritu en nosotros,,Español / Inglés / Japonés,Película,1,,
234,Final Fantasy Unlimited,,,Japonés,25,2,,
235,Final Fantasy VII - Advent Children,,,Inglés / Japonés,Película,1,,
236,FLCL,,,Japonés,6,1,,
237,Food Wars,Shokugeki no Soma,,Japonés,24,2,Comedia / Cocina / Slice of life,
238,Fractale,,,Japonés,11,1,,
239,Free!,,,Japonés,12 + Short movie,1,,
240,Free! Eternal Summer,,Segunda Temporada,Japonés,13,1,,
241,Freezing,,Primera Temporada,Japonés,12 + 6 omakes,1,,
242,Freezing Vibration,,Segunda Temporada,Japonés,12,1,,
243,Fruits Basket,,,Japonés,26,2,,
244,Full Metal Panic,,,Japonés,24,2,,
245,Full Metal Panic TSR,,,Japonés,13 + Especial + OVA,1,,
246,Full Metal Panic! Fumoffu,,,Japonés,12,1,,
247,Fullmetal Alchemist,,,Español / Inglés,51 + 5 OVA,4,,
248,Fullmetal Alchemist Shintetsu,Fullmetal Alchemist Brotherhood,,Japonés,64,5,,
249,Fullmetal Alchemist Shintetsu OVAS,,,Japonés,4 + 4 especiales,1,,
250,Fullmetal Alchemist The Movie - Conquerors of Shambala,,,Español / Japonés,Película,1,,
251,Fullmetal Alchemist The Movie - Sacred Star of Milos,,,Japonés,Película,1,,
252,Fushigi Yuugi,,,Japonés,52 + 3 OVA,3,,
253,Ga Rei Zero,,,Japonés,12,1,Acción / Sobrenatural / Suspenso,
254,Gakuen Heaven,,,Japonés,13,1,Shounen Ai / Comedia,
255,Galilei Donna,,,Japonés,11,1,Aventura / Acción / Sci-Fi,
256,GANTZ,,,Japonés,26,2,Acción / Horror / Suspenso / Gore,
257,GANTZ - Live Action,,,Japonés,2 Películas,1,Acción / Horror / Suspenso / Gore,
258,Garden of the Sinners,Kara no Kyokai,,Japonés,7 Películas,2,Acción / Misterio / Sobrenatural,
259,Garo,,,Japonés,13,1,,
260,Gatchaman Crowds,,,Japonés,12,1,Acción / Aventura / Sci-Fi / Seinen,
261,Gekkan Shoujo Nozaki-kun,,,Japonés,12,1,Comedia / Romance / Slice of life / Escolar,
262,Gen'ei no Kakeru,,,Japonés,12,1,Magia / Drama / Suspenso,
263,Genesis Climber Mospeada,,,Japonés,25,3,Acción / Mechas / Aventura / Romance,
264,Genocyber,,,Japonés,5,1,Acción / Sci-Fi / Horror / Gore,
265,Genshiken,,Primera Temporada,Japonés,12,1,Comedia / Parodia / Escolar,
266,Genshiken 2,,Segunda Temporada,Japonés,12,1,Comedia / Parodia / Escolar,
267,Genshiken Nidaime,,Tercera Temporada,Japonés,13,1,Comedia / Parodia / Escolar,
268,Get Backers,,,Japonés,49,4,Aventura / Acción / Sobrenatural,
269,Ghost in the Shell,GITS,Primera Temporada,Japonés,26,2,Acción / Sci-Fi / Cyber Punk,
270,Ghost in the Shell 2,"Pelicula - Innocence, OVA - Solid State Society",Segunda Película,Español,Película + OVA,1,Acción / Sci-Fi / Cyber Punk,
271,Ghost in the Shell 2nd Stand Alone Complex,GITS 2nd SAC,Segunda temporada,Japonés,26,2,Acción / Sci-Fi / Cyber Punk,
272,Ghost in the shell Arise,,Precuela,Japonés,4,1,Acción / Sci-Fi / Cyber Punk,
273,Ghost in the Shell the Movie 2.0,,Primer Película,Español / Inglés / Francés / Japonés,Película,1,Acción / Sci-Fi / Cyber Punk,
274,Gilgamesh,,,Japonés,26,2,Horror / Acción / Drama / Sci-Fi,
275,Gintama,,Primera Temporada,Japonés,201,10,Aventura / Comedia / Drama / Sci-Fi / Acción / Fantasía,
276,Girlfriend Kari,,,Japonés,12,1,Romance / Slice of life / Moe,
277,GJ Bu,,,Japonés,12,1,Comedia / Romance / Slice of life  / Escolar,
278,Godzilla Collection,,,Inglés / Japonés,27 Películas,6,Acción / Sobrenatural,
279,Golden Time,,,Japonés,24,2,Romance / Comedia / Drama,
280,Goshuushou-sama Ninomiya-kun,,,Japonés,12,1,Ecchi / Comedia / Romance,
281,Gosick,,,Japonés,24,2,Misterio / Fantasía,
282,Gravitation,,,Japonés,13,1,Shounen Ai / Drama / Comedia,
283,Grisaia no Kajitsu,Le Fruit de Grisaia,,Japonés,13,1,Acción / Suspenso / Harem / Ecchi,
284,Grisaia no Meikyuu,Le Labyrinthe de la Grisaia,Segunda Temporada,Japonés,Película,1,Acción / Suspenso / Harem / Ecchi,
285,Grisaia no Rakuen,Le Eden de la Grisaia,Tercera Temporada,Japonés,10,1,Acción / Suspenso / Harem / Ecchi,
286,GTO,Great Teacher Onizuka,,Japonés,43,2,Comedia / Escolar / Slice of life,
287,Gugure! Kokkuri-san!,,,Japonés,12,1,Comedia / Romance / Fantasía,
288,Guilty Crown,,,Japonés,22 + Especial,2,Acción / Sci-Fi / Romance,
289,Gunbuster,,,Japonés,6,1,Mechas / Sci-Fi / Soap opera,
290,Gunbuster 2,Diebuster,,Japonés,6,1,Acción / Mechas / Comedia,
291,Gundam  Wing,,,Español,49 + 3 OVA,3,Mechas / Acción,
292,Gundam SEED,,,Japonés,50 + OVA,4,Acción / Mechas / Drama,
293,Gundam SEED Destiny,,,Japonés,51,4,Acción / Mechas / Drama,
294,Gundam SEED Destiny Special Edition,,,Japonés,4 Películas,1,Acción / Mechas / Drama,
295,"Gundam Unicorn, Mobile Suit",,,Japonés,7,1,Acción / Mechas / Suspenso,
296,GYO - Tokyo Fish Attack,,,Inglés / Japonés,Película,1,Horror / Sci-Fi / Acción / Gore,
297,Hadi Girl,,,Japonés,10,1,Comedia / Romance,
298,Haibane no Renmei,,,Japonés,13,1,Misterio / Suspenso / Psicológico,
299,Haikyuu!,,,Japonés,25,2,Deportes / Slice of life,
300,Haiyore Nyaruko-san,,,Japonés,12,1,Comedia / Romance / Ecchi,
301,Haiyore Nyaruko-san W,,,Japonés,12,1,Comedia / Romance / Ecchi,
302,Hajime no Ippo,,Primera Temporada,Español,75,3,Deportes / Slice of life,
303,Hajime no Ippo Champion Road,,Película,Japonés,Película,1,Deportes / Slice of life,
304,Hajime no Ippo New Challenger,,Segunda Temporada,Japonés,26,2,Deportes / Slice of life,
305,Hajime no Ippo Rising,,Tercera Temporada,Japonés,25,2,Deportes / Slice of life,
306,Hakuoki Hekketsuroku,,Segunda Temporada,Japonés,10,1,Samurai / Tragedia / Romance / Harem / Harem Invertido,
307,Hakuoki Reimeiroku,,Tercera Temporada,Japonés,12,1,Samurai / Tragedia / Romance / Harem / Harem Invertido,
308,Hakuoki Sekkaroku,,OVAS,Japonés,6,1,Samurai / Tragedia / Romance / Harem / Harem Invertido,
309,Hakuoki Shinsengumi Kitan,,Primera Temporada,Japonés,12,1,Samurai / Tragedia / Romance / Harem / Harem Invertido,
310,Hakushaku to Yousei,,,Japonés,12,1,Romance / Fantasía / Suspenso,
311,HAL,,,Japonés,Película,1,Romance / Drama / Fantasía,
312,HALO Legends,,,Inglés / Japonés,8 Películas,1,Acción / Aventura / Espacial,
313,Hamatora,,Primera Temporada,Japonés,12,1,Misterio / Acción / Sobrenatural,
314,Hanamonogatari,,Quinta Temporada,Japonés,5,1,Sobrenatural / Acción / Suspenso / Comedia,
315,Hanasakeru Seishounen,,,Japonés,39,3,Drama / Romance / Harem / Harem Invertido,
316,Hanbun no Tsuki ga Noboru Sora,Hantsuki,,Japonés,6,1,Drama / Romance / Slice of life,
317,Hataraku no Maou-sama,,,Japonés,13,1,Comedia / Fantasía,
318,Hatsukoi Limited,,,Japonés,12,1,Romance / Drama / Escolar / Comedia,
319,Hayate no Gotoku,Hayate the Combat Butler,Primera Temporada,Japonés,52,3,Comedia / Romance / Harem,
320,Hayate no Gotoku Cuties,,Cuarta temporada,Japonés,12,1,Comedia / Romance / Harem,
321,Hayate no Gotoku!!,Hayate the Combat Butler,Segunda Temporada,Japonés,25,2,Comedia / Romance / Harem,
322,He is my master,Kore ga watashi no goushajin sama,,Japonés,12,1,Comedia / Ecchi / Romance,
323,Heart no Kuni no Alice - Wonderful Wonder World,,,Japonés,Película,1,Comedia / Fantasía / Romance / Harem / Harem Invertido / Bishounen,
324,HEIDI,,,Español,52,4,Drama / Slice of life,
325,Hell Girl,,Primera Temporada,Japonés,26,2,Sobrenatural / Suspenso / Misterio / Thriller,
