ID,TITLE,ALT_TITLE,INFO,LANGUAGE,EPISODES,DISCS,GENRE,DETAILS
781,Super Campeones Mundial Juvenil,,Película,Español,Película,1,,
782,Super Campeones Road to 2002,,Tercera Temporada,Español,52,3,,
783,Super Seisyun Brothers,,,Japonés,12,1,,
784,Susurros del Corazon,Whisper of the Heart,,Español / Japonés,Película,1,,
785,Suzumiya Haruhi no Shoushitsu,,Película Tercera Temporada,Japonés,Película,1,,
786,Suzumiya Haruhi no Yuutsu,,Primera y Segunda Temporada,Japonés,28,2,,
787,Sword Art Online,SAO,Primera Temporada,Japonés,25 + Especial,2,,
788,Sword Art Online Extra Edition,SAO Extra Edition,Película Temporada Intermedia,Japonés,Película,1,,
789,Sword Art Online II,,Segunda Temporada,Japonés,25,2,,
790,Sword of the Stranger,Muko Hadan,,Japonés,Película,1,,
791,Tactics,,,Japonés,26,1,,
792,Tales of the Abyss,,,Japonés,26,2,,
793,Tasogare Otome Amnesia,Dusk Maiden of Amnesia,,Japonés,12,1,,
794,Tengen Toppa Gurren Lagan,,,Japonés,27 + OVA,2,,
795,Tenjho Tenge,,,Japonés,24+ 2 OVA,2,,
796,Terra Formars,,,Japonés,13 + 2 OVA,1,,
797,The Book of Bantorra,,,Japonés,27,2,,
798,The Garden of Words,Kotonoha no niwa,,Japonés,Película,1,,
799,The Last Unicorn,El Ultimo Unicornio,,Español,Película,1,,
800,The Legend of the Blue Wolves,Ookami-tachi no Densetsu,,Japonés,Película,1,,
801,The Sacred BlackSmith,Seiken no Blacksmith,,Español / Japonés,12,1,,
802,The Seven Deadly sins,Nanatsu no Taizai,,Japonés,24,1,,
803,The Twelve Kingdoms,,,Español / Japonés,45,4,,
804,The Wind Rises,Kaze no Tachuni | El viento se levanta,GHIBLI,Japonés,Película,1,,
805,They are my Noble Masters,Kimi ga Aruji de sHitsuji ga Ore de,,Japonés,13,1,,
806,Thundercats,,,Español,52/130,2,,
807,To Aru Kagaku no Railgun,,Serie Alterna - Primera Temporada,Japonés,24 + OVA,2,,
808,To Aru Kagaku no Railgun S,,Serie Alterna - Segunda Temporada,Japonés,24,2,,
809,To Aru Majutsu Index,,Primera Temporada,Japonés,24,2,,
810,To Aru Majutsu Index II,,Segunda Temporada,Japonés,24,2,,
811,To Aru majutsu Index Movie,,,Japonés,Película,1,,
812,To Heart,,Primera Temporada,Japonés,13,1,,
813,To Heart Remember my Memories,,Segunda Temporada,Japonés,13,1,,
814,To Love Ru,,Primera Temporada,Japonés,26,2,,
815,To Love Ru Darkness,,Tercera Temporada,Japonés,12 + 2 OVA,1,,
816,To Love Ru Darkness OVAs,,OVAS de la tercera temporada,Japonés,5,1,,
817,To Love Ru OVAS,,Primera Temporada,Japonés,6,1,,
818,"To Love Ru, Motto",,Segunda Temporada,Japonés,12,1,,
819,Togainu no Chi,,,Japonés,12,1,,
820,Tohou,,,Japonés,2 OVA + Especial,1,,
821,Toki wo Kakeru Shoujo,La chica que saltaba en el tiempo,,Japonés,Película,1,,
822,Tokko,,,Español,13,1,,
823,Tokyo 8.0,,,Japonés,11,1,,
824,Tokyo Babylon,,,Japonés,2,1,,
825,Tokyo ESP,,,Japonés,12,1,,
826,Tokyo Ghoul,,,Japonés,12,1,,
827,Tokyo Ghoul A,,Segunda Temporada,Japonés,12,1,,
828,Tokyo Godfathers,,,Español / Japonés,Película,1,,
829,Tokyo Majin Gakuen Kenpuchou,,Primera Temporada,Japonés,14,1,,
830,Tokyo Majin Gakuen Kenpuchou 2nd Act,,Segunda Temporada,Japonés,14,1,,
831,Tokyo Ravens,,,Japonés,24,2,,
832,Tonagura,,,Japonés,13,1,,
833,Tonari no Kaibutsu-kun,,,Japonés,13,1,,
834,Toradora!,,,Japonés,25,2,,
835,Towa no Quon,,,Japonés,6 Películas,1,,
836,Trigun,,,Español / Japonés,26,2,,
837,Trinity Blood,,,Japonés,24,2,,
838,Trinity Seven,,,Japonés,12,1,,
839,Tsubasa Reservoir Chronicle,,Primera Temporada,Japonés,26,1,,
840,Tsubasa Reservoir Chronicle 2,,Segunda Temporada,Japonés,26,2,,
841,Tsubasa Reservoir Chronicle Shunraiki,,Cuarta Temporada,Japonés,2 + Película,1,,
842,Tsubasa Reservoir Chronicle Tokyo Revelations,,Tercera Temporada,Español / Japonés,3,1,,
843,Tsukimonogatari,,Sexta Temporada,Japonés,,1,,
844,Tsuritama,,,Japonés,12,1,,
845,"Ultramarines: Warhammer 40,000","Warhammer 40,000",,Español / Inglés,Película,1,,
846,Umineko no na ku koro ni,,"Precuela, para secuela vease Higurashi no na ku koro ni",Japonés,26,2,,
847,UN-GO,,,Japonés,11,1,,
848,Uragiri wa Boku no Namae Shitteiru,URABOKU,,Japonés,24,2,,
849,Ushinawareta Mirai wo Motomete,,,Japonés,12,1,,
850,Uta wa Prince-sama Maji Love 1000%,,Primera Temporada,Japonés,12,1,,
851,Uta wa Prince-sama Maji Love 2000%,,Segunda Temporada,Japonés,13,1,,
852,Valvrave The Liberator,,Primera Temporada,Japonés,12,1,,
853,Valvrave The Liberator 2,,Segunda Temporada,Japonés,12,1,,
854,Vampire Hunter D,,Primera Película,Español / Japonés,Película,1,,
855,Vampire Hunter D Blood Lust,,Segunda Película,Español / Inglés,Película,1,,
856,Vampire Knight,,Primera Temporada,Japonés,13,1,,
857,Vampire Knight Guilty,,Segunda Temporada,Japonés,13,1,,
858,Vampire Princess Miyu,,,Japonés,26,2,,
859,Vassalord,,,Japonés,Película,1,,
860,Violence Jack,,,Japonés,3,1,,
861,VOCALOID - Miku no Hi 39 Thank's Giving Day,,,Japonés,Concierto,2,,
862,VOCALOID - Videografia 1,,,Japonés,39,1,,
863,VOCALOID - Videografia 2,,,Japonés,40,1,,
864,"Wake up, Girls!",WUG!,,Japonés,12 + Película,1,,
865,Walkure Romanze,,,Japonés,12,1,,
866,WATAMOTE,Watashi ga Motenai no wa dou kangaetemo omaera ga warui!,,Japonés,12,1,,
867,White Album,,,Japonés,13,1,,
868,White Album 2,,,Japonés,13,1,,
869,Witch Craft Works,,,Japonés,12,1,,
870,Witch Hunter robin,,,Japonés,26,2,,
871,Witchblade,,,Japonés,24,2,,
872,Wolf Children - Ame to yuki,Ookami kodomo no ame to yuki,,Japonés,Película,1,,
873,Wolf's Rain,,,Japonés,30,2,,
874,Wolverine,,,Español,12,1,,
875,Wonderful Days,Sky Blue,,Coreano,Película,1,,
876,Wooser no Sono Higurashi Kakusei-Hen,,egunda Temporada,Japonés,12,1,,
877,World Trigger,,,Japonés,13,1,,
878,X / 1999,,,Japonés,24 + Ova,2,,
879,Yahari ore no Seishun Love come wa Machigatteiru,Yahari Love,,Japonés,13,1,,
880,Yamato Nadeshiko Shichihenge,The Wallflower,,Japonés,25,2,,
881,Yami no Matsuei,,,Japonés,12,1,,
882,Yami Shibai,Historias de Fantasmas Japoneses,Primera Temporada,Japonés,13,1,,
883,Yoake Mae Yori Ruri Iro na Crescent Love,Brighter than Dawning Blue,,Japonés,12,1,,
884,Yosuga no Sora,,,Japonés,13,1,,
885,Yozakura Quartet - Hana no Uta-,,Remake,Japonés,13,1,,
886,Yu-Gi-Oh!,,,Español,224,15,,
887,Yu-Gi-Oh! 10th Movie,,Película de aniversario,Japonés,Película,1,,
888,Yu-Gi-Oh! 5D's,,,Español / Japonés,154,8,,
889,Yu-Gi-Oh! Capsule Monsters,,,Inglés / Japonés,12,1,,
890,Yu-Gi-Oh! GX,,,Español,180,9,,
891,Yu-Gi-Oh! Movie,La piramide de la Luz,,Español / Inglés,Película,1,,
892,Yumekui Merry,,,Japonés,13,1,,
893,Yu-Sibu,Yuusha ni Narenakatta ore wa shibushibu Shushoku o Ketsui Shimashita,,Japonés,12,1,,
894,Yuu Yuu Hakusho,,,Español,112,6,,
895,Yuu Yuu Hakusho Movies,,,Español / Japonés,2,1,,
896,Zankyou no Terror,,,Japonés,11,1,,
897,Zero no Tsukaima,,Primera temporada,Japonés,13,1,,
898,Zero no Tsukaima F,,Cuarta Temporada,Japonés,12,1,,
899,Zero no Tsukaima Futatsuki no Kishi,,Segunda Temporada,Japonés,12,1,,
900,Zero no Tsukaima Princesses no Rondo,,Tercera Temporada,Japonés,12 + OVA,1,,
901,ZETMAN,,,Japonés,13,1,,
902,Zetsuen no Tempest,,,Japonés,24,2,,
903,Zettai Bouei Leviathan,,,Japonés,12,1,,
904,Zettai Karen Children,,Primera Temporada,Japonés,52,3,,
905,Zettai Karen Children - The Unlimited,,Segunda Temporada,Japonés,12,1,,
906,Zoids Chaotic Century,,Primera Temporada,Español,34,2,,
907,Zoids Fuzors,,Cuarta temporada,Español,26,2,,
908,Zoids Genesis,,Quinta Temporada,Japonés,50,3,,
909,Zoids Guardian Force,,Segunda Temporada,Español,31,2,,
910,Zoids New Century / Zero,,Tercera Temporada,Español,26,2,,
911,Zombie Loan,,,Japonés,11,1,,
912,ZX / Ignition,,,Japonés,12,1,Fantasía / Aventura,
